protein_accession,method,lcr_start,lcr_end,pfam_accession,pfam_name,domain_start,domain_end,overlap_length,lcr_domain_fraction,domain_lcr_fraction,is_domain_edge
A0A024RCN4,fLPS_strict,413,417,PF00096,zf-C2H2,395,417,5,1.0,0.2174,True
A0A024RCN4,fLPS_strict,364,372,PF00096,zf-C2H2,368,389,5,0.5556,0.2273,True
O94761,fLPS_strict,751,758,PF00271,Helicase_C,688,809,8,1.0,0.0656,False
A0A2R8Y4L2,fLPS_strict,195,307,PF11627,HnRNPA1_LC,255,292,38,0.3363,1.0,True
A0A2R8Y4L2,fLPS_strict,245,280,PF11627,HnRNPA1_LC,255,292,26,0.7222,0.6842,True
A0A2R8Y4L2,fLPS_strict,195,307,PF11627,HnRNPA1_LC,255,292,38,0.3363,1.0,True
Q9HBD4,fLPS_strict,907,929,PF04851,ResIII,754,913,7,0.3043,0.0437,True
Q9HBD4,fLPS_strict,907,929,PF00270,DEAD,776,913,7,0.3043,0.0507,True
Q9HBD4,fLPS_strict,770,774,PF04851,ResIII,754,913,5,1.0,0.0312,False
Q14839,fLPS_strict,889,919,PF04851,ResIII,725,904,16,0.5161,0.0889,True
Q9BYX4,fLPS_strict,348,352,PF04851,ResIII,306,491,5,1.0,0.0269,False
Q9BYX4,fLPS_strict,348,352,PF00270,DEAD,309,491,5,1.0,0.0273,False
A6NKG5,fLPS_strict,745,759,PF00078,RVT_1,709,781,15,1.0,0.2055,False
P38919,fLPS_strict,172,179,PF04851,ResIII,61,221,8,1.0,0.0497,False
P38919,fLPS_strict,172,179,PF00270,DEAD,63,225,8,1.0,0.0491,False
A0A590UJW6,fLPS_strict,29,51,PF25479,Vts1,11,54,23,1.0,0.5227,True
A0A7I2V5M7,fLPS_strict,100,104,PF02136,NTF2,11,143,5,1.0,0.0376,False
A0A8I5KX04,fLPS_strict,924,1092,PF20844,PCF11_RFEG_rpt,908,992,69,0.4083,0.8118,True
A0A8I5KX04,fLPS_strict,924,1092,PF20844,PCF11_RFEG_rpt,995,1093,98,0.5799,0.9899,True
A0A8I5KX04,fLPS_strict,924,1092,PF20844,PCF11_RFEG_rpt,1084,1166,9,0.0533,0.1084,True
A0A8I5KX04,fLPS_strict,1102,1175,PF20844,PCF11_RFEG_rpt,1084,1166,65,0.8784,0.7831,True
A0A8I5KX04,fLPS_strict,1102,1175,PF20844,PCF11_RFEG_rpt,1167,1239,9,0.1216,0.1233,True
A0A8I5KX04,fLPS_strict,195,233,PF20845,Pcf11_helical,199,236,35,0.8974,0.9211,True
A0A8I5KX04,fLPS_strict,1174,1222,PF20844,PCF11_RFEG_rpt,1167,1239,49,1.0,0.6712,True
A0A8I5KX04,fLPS_strict,1200,1232,PF20844,PCF11_RFEG_rpt,1167,1239,33,1.0,0.4521,True
A0A8I5KX04,fLPS_strict,924,1092,PF20844,PCF11_RFEG_rpt,908,992,69,0.4083,0.8118,True
A0A8I5KX04,fLPS_strict,924,1092,PF20844,PCF11_RFEG_rpt,995,1093,98,0.5799,0.9899,True
A0A8I5KX04,fLPS_strict,924,1092,PF20844,PCF11_RFEG_rpt,1084,1166,9,0.0533,0.1084,True
A0A8I5KX04,fLPS_strict,1102,1232,PF20844,PCF11_RFEG_rpt,1084,1166,65,0.4962,0.7831,True
A0A8I5KX04,fLPS_strict,1102,1232,PF20844,PCF11_RFEG_rpt,1167,1239,66,0.5038,0.9041,True
A0A8I5KX04,fLPS_strict,195,234,PF20845,Pcf11_helical,199,236,36,0.9,0.9474,True
A0A8I5KWK6,fLPS_strict,229,250,PF07754,Ribosomal_aS21,237,272,14,0.6364,0.3889,True
A0A8I5KWK6,fLPS_strict,229,250,PF00096,zf-C2H2,238,260,13,0.5909,0.5652,True
A0A8I5KWK6,fLPS_strict,228,250,PF07754,Ribosomal_aS21,237,272,14,0.6087,0.3889,True
A0A8I5KWK6,fLPS_strict,228,250,PF00096,zf-C2H2,238,260,13,0.5652,0.5652,True
A0A8V8TR54,fLPS_strict,967,988,PF04851,ResIII,795,973,7,0.3182,0.0391,True
A0A994J6B2,fLPS_strict,112,121,PF00096,zf-C2H2,110,132,10,1.0,0.4348,True
A0A994J6B2,fLPS_strict,112,121,PF07754,Ribosomal_aS21,118,172,4,0.4,0.0727,True
A0ABB0MN55,fLPS_strict,78,84,PF00076,RRM_1,26,87,7,1.0,0.1129,True
A0ABB0MN55,fLPS_strict,53,57,PF00076,RRM_1,26,87,5,1.0,0.0806,False
A0A994J7T5,fLPS_strict,333,344,PF00035,dsrm,293,343,11,0.9167,0.2157,True
A0A994J7T5,fLPS_strict,176,180,PF00035,dsrm,128,189,5,1.0,0.0806,True
Q5T890,fLPS_strict,147,164,PF00270,DEAD,154,318,11,0.6111,0.0667,True
Q5T890,fLPS_strict,147,164,PF04851,ResIII,161,314,4,0.2222,0.026,True
A0ABB0MV08,fLPS_strict,218,365,PF11627,HnRNPA1_LC,312,350,39,0.2635,1.0,True
A0ABB0MV08,fLPS_strict,305,336,PF11627,HnRNPA1_LC,312,350,25,0.7812,0.641,True
A0ABB0MV08,fLPS_strict,218,365,PF11627,HnRNPA1_LC,312,350,39,0.2635,1.0,True
A0ABB0MVJ3,fLPS_strict,543,548,PF00096,zf-C2H2,544,565,5,0.8333,0.2273,True
A0ABB0MVJ3,fLPS_strict,585,596,PF00096,zf-C2H2,571,592,8,0.6667,0.3636,True
A0ABB0MVJ3,fLPS_strict,231,235,PF00096,zf-C2H2,235,257,1,0.2,0.0435,True
A0ACI8Q0P4,fLPS_strict,187,204,PF00641,Zn_ribbon_RanBP,181,209,18,1.0,0.6207,True
A0ACI8UUW5,fLPS_strict,339,350,PF00096,zf-C2H2,328,350,12,1.0,0.5217,True
A0ACI8UUW5,fLPS_strict,514,518,PF00096,zf-C2H2,496,518,5,1.0,0.2174,True
A0ACI8P9Y7,fLPS_strict,788,794,PF04851,ResIII,746,902,7,1.0,0.0446,False
A0ACI8P9Y7,fLPS_strict,788,794,PF00270,DEAD,747,903,7,1.0,0.0446,False
A0ACI8RL22,fLPS_strict,1238,1249,PF20692,cpSF2-GREB1,711,1395,12,1.0,0.0175,False
A0ACI8RL22,fLPS_strict,1164,1205,PF20692,cpSF2-GREB1,711,1395,42,1.0,0.0613,False
A0ACI8RL22,fLPS_strict,1244,1273,PF20692,cpSF2-GREB1,711,1395,30,1.0,0.0438,False
A0ACI8RL22,fLPS_strict,1278,1298,PF20692,cpSF2-GREB1,711,1395,21,1.0,0.0307,False
A0ACI8RL22,fLPS_strict,1395,1414,PF20692,cpSF2-GREB1,711,1395,1,0.05,0.0015,True
A0ACI8PI13,fLPS_strict,325,342,PF00271,Helicase_C,300,339,15,0.8333,0.375,True
A0ACI8QTQ5,fLPS_strict,1165,1173,PF14622,Ribonucleas_3_3,1135,1256,9,1.0,0.0738,False
A0ACI8QTQ5,fLPS_strict,1165,1173,PF22935,RM44_endonuclase,1138,1205,9,1.0,0.1324,False
A0ACI8QTQ5,fLPS_strict,1165,1173,PF00636,Ribonuclease_3,1144,1246,9,1.0,0.0874,False
A0ACI8QTQ5,fLPS_strict,716,736,PF26050,Helical_CED_Drosha,719,850,18,0.8571,0.1364,True
A0ACI8PUZ8,fLPS_strict,501,508,PF24385,DSRM_DHX29,431,508,8,1.0,0.1026,True
A0ACI8PUZ8,fLPS_strict,589,593,PF00270,DEAD,580,739,5,1.0,0.0312,True
A0ACI8RSP0,fLPS_strict,38,64,PF29471,Ribosomal_uL15_N,42,75,23,0.8519,0.6765,True
A0ACI8RSP0,fLPS_strict,38,70,PF29471,Ribosomal_uL15_N,42,75,29,0.8788,0.8529,True
A0ACI8PX57,fLPS_strict,195,345,PF11627,HnRNPA1_LC,307,344,38,0.2517,1.0,True
A0ACI8PX57,fLPS_strict,313,324,PF11627,HnRNPA1_LC,307,344,12,1.0,0.3158,True
A0ACI8PX57,fLPS_strict,195,345,PF11627,HnRNPA1_LC,307,344,38,0.2517,1.0,True
A0ACI8RLL6,fLPS_strict,443,453,PF16575,CLP1_P,333,465,11,1.0,0.0827,False
A0ACI8R3H8,fLPS_strict,480,518,PF08061,P68HR,500,534,19,0.4872,0.5429,True
A0ACI8R3H8,fLPS_strict,181,185,PF00270,DEAD,118,288,5,1.0,0.0292,False
A0ACI8R3H8,fLPS_strict,181,185,PF04851,ResIII,137,281,5,1.0,0.0345,False
A0ACI8R3H8,fLPS_strict,480,519,PF08061,P68HR,500,534,20,0.5,0.5714,True
A0ACI8QH16,fLPS_strict,341,370,PF03484,B5,309,374,30,1.0,0.4545,True
A0ACI8PT71,fLPS_strict,285,308,PF00013,KH_1,225,285,1,0.0417,0.0164,True
A0ACI8PT71,fLPS_strict,285,308,PF00013,KH_1,298,358,11,0.4583,0.1803,True
A0ACI8PT71,fLPS_strict,513,542,PF00013,KH_1,511,571,30,1.0,0.4918,True
A0ACI8PT71,fLPS_strict,744,748,PF00013,KH_1,732,791,5,1.0,0.0833,False
A0ACI8PT71,fLPS_strict,810,814,PF00013,KH_1,804,865,5,1.0,0.0806,True
A0ACI8PT71,fLPS_strict,998,1017,PF00013,KH_1,1012,1071,6,0.3,0.1,True
A0ACI8RWF6,fLPS_strict,16,65,PF04068,Fer4_RLI,6,36,21,0.42,0.6774,True
A0ACI8RWF6,fLPS_strict,15,27,PF04068,Fer4_RLI,6,36,13,1.0,0.4194,True
A0ACI8RWF6,fLPS_strict,15,65,PF04068,Fer4_RLI,6,36,22,0.4314,0.7097,True
A0ACI8PVP6,fLPS_strict,486,500,PF00096,zf-C2H2,493,514,8,0.5333,0.3636,True
A0ACI8PVP6,fLPS_strict,527,549,PF00096,zf-C2H2,520,542,16,0.6957,0.6957,True
A0ACI8PVP6,fLPS_strict,492,497,PF00096,zf-C2H2,493,514,5,0.8333,0.2273,True
A0ACI8PVP6,fLPS_strict,486,500,PF00096,zf-C2H2,493,514,8,0.5333,0.3636,True
A0ACI8RMB5,fLPS_strict,432,456,PF00271,Helicase_C,434,521,23,0.92,0.2614,True
A0ACI8Q010,fLPS_strict,91,97,PF00076,RRM_1,41,109,7,1.0,0.1014,False
A0ACI8Q010,fLPS_strict,86,90,PF00076,RRM_1,41,109,5,1.0,0.0725,False
A0ACI8QLY8,fLPS_strict,30,46,PF08143,CBFNT,1,70,17,1.0,0.2429,False
A0ACI8QLY8,fLPS_strict,26,57,PF08143,CBFNT,1,70,32,1.0,0.4571,False
A0ACI8QLY8,fLPS_strict,30,57,PF08143,CBFNT,1,70,28,1.0,0.4,False
A0ACI8QLY8,fLPS_strict,164,195,PF00076,RRM_1,156,204,32,1.0,0.6531,True
A0ACI8QBP4,fLPS_strict,297,301,PF17720,RLIG1,61,357,5,1.0,0.0168,False
A0ACI8QA17,fLPS_strict,91,110,PF10469,AKAP7_NLS,85,282,20,1.0,0.101,True
A0ACI8QA17,fLPS_strict,279,306,PF10469,AKAP7_NLS,85,282,4,0.1429,0.0202,True
A0ACI8QUJ1,fLPS_strict,342,346,PF28441,RRM_11,284,373,5,1.0,0.0556,False
A0ACI8SAU3,fLPS_strict,569,596,PF00271,Helicase_C,472,580,12,0.4286,0.1101,True
A0ACI8QHW6,fLPS_strict,349,372,PF00096,zf-C2H2,372,393,1,0.0417,0.0455,True
A0ACI8RHW9,fLPS_strict,41,61,PF17654,Trnau1ap,16,105,21,1.0,0.2333,False
A0ACI8RX58,fLPS_strict,275,301,PF04889,Cwf_Cwc_15,246,337,27,1.0,0.2935,False
A0ACI8RX58,fLPS_strict,274,315,PF04889,Cwf_Cwc_15,246,337,42,1.0,0.4565,False
A0ACI8RX58,fLPS_strict,314,337,PF04889,Cwf_Cwc_15,246,337,24,1.0,0.2609,True
A0ACI8RX58,fLPS_strict,417,428,PF00076,RRM_1,349,417,1,0.0833,0.0145,True
A0ACI8RX58,fLPS_strict,274,311,PF04889,Cwf_Cwc_15,246,337,38,1.0,0.413,False
A0ACI8RCQ9,fLPS_strict,109,134,PF16837,SF3A3,129,178,6,0.2308,0.12,True
A0ACI8RCQ9,fLPS_strict,509,513,PF11931,SF3a60_Prp9_C,460,534,5,1.0,0.0667,False
A0ACI8QNN6,fLPS_strict,367,379,PF00270,DEAD,203,405,13,1.0,0.064,False
A0ACI8QNN6,fLPS_strict,452,458,PF00271,Helicase_C,447,549,7,1.0,0.068,True
A0ACI8QNN6,fLPS_strict,276,280,PF00270,DEAD,203,405,5,1.0,0.0246,False
A0ACI8QNN6,fLPS_strict,276,280,PF04851,ResIII,205,355,5,1.0,0.0331,False
A0ACI8QNN6,fLPS_strict,358,362,PF00270,DEAD,203,405,5,1.0,0.0246,False
A0ACI8RR28,fLPS_strict,720,729,PF21071,LARP1_HEAT,700,848,10,1.0,0.0671,False
A0ACI8RR28,fLPS_strict,742,753,PF21071,LARP1_HEAT,700,848,12,1.0,0.0805,False
A0ACI8QU73,fLPS_strict,265,274,PF00270,DEAD,216,511,10,1.0,0.0338,False
A0ACI8QU73,fLPS_strict,355,359,PF00270,DEAD,216,511,5,1.0,0.0169,False
A0ACI8SEY7,fLPS_strict,308,339,PF00270,DEAD,205,391,32,1.0,0.1711,False
A0ACI8S5T8,fLPS_strict,454,474,PF28441,RRM_11,411,483,21,1.0,0.2877,True
A0ACI8SSD0,fLPS_strict,518,522,PF00096,zf-C2H2,500,522,5,1.0,0.2174,True
A0ACI8SJI5,fLPS_strict,312,316,PF04851,ResIII,295,463,5,1.0,0.0296,False
A0ACI8SL57,fLPS_strict,92,119,PF25476,Ribosomal_L19e_C,57,93,2,0.0714,0.0541,True
A0ACI8SL57,fLPS_strict,60,74,PF25476,Ribosomal_L19e_C,57,93,15,1.0,0.4054,True
A0ACI8SNF6,fLPS_strict,118,144,PF16906,Ribosomal_L26,8,130,13,0.4815,0.1057,True
A0ACI8SQV4,fLPS_strict,34,38,PF00076,RRM_1,8,75,5,1.0,0.0735,False
A0ACI8SRT4,fLPS_strict,76,88,PF00467,KOW,59,88,13,1.0,0.4333,True
A0ACI8SRJ7,fLPS_strict,57,63,PF00076,RRM_1,8,78,7,1.0,0.0986,False
P51814,fLPS_strict,663,671,PF00096,zf-C2H2,649,671,9,1.0,0.3913,True
A0ACI8SUQ9,fLPS_strict,76,80,PF01423,LSM,24,96,5,1.0,0.0685,False
A0ACI8T0E0,fLPS_strict,141,157,PF17135,Ribosomal_L18,68,161,17,1.0,0.1809,True
A0ACI8T1C0,fLPS_strict,172,203,PF00096,zf-C2H2,196,218,8,0.25,0.3478,True
A0ACI8T1C0,fLPS_strict,166,206,PF00096,zf-C2H2,196,218,11,0.2683,0.4783,True
A0ACI8T6P5,fLPS_strict,448,462,PF21530,Pif1_2B_dom,417,463,15,1.0,0.3191,True
A0ACI8T7F0,fLPS_strict,874,891,PF08264,Anticodon_1,784,932,18,1.0,0.1208,False
A0ACI8T7F0,fLPS_strict,516,534,PF00133,tRNA-synt_1,113,735,19,1.0,0.0305,False
A0ACI8T7F0,fLPS_strict,812,820,PF08264,Anticodon_1,784,932,9,1.0,0.0604,False
A0ACI8T7F0,fLPS_strict,113,117,PF00133,tRNA-synt_1,113,735,5,1.0,0.008,True
A0ACI8T7F0,fLPS_strict,900,922,PF08264,Anticodon_1,784,932,23,1.0,0.1544,True
A0ACI8TFG6,fLPS_strict,1371,1386,PF03129,HGTP_anticodon,1343,1443,16,1.0,0.1584,False
A0ACI8TLG3,fLPS_strict,542,546,PF00133,tRNA-synt_1,132,742,5,1.0,0.0082,False
A0ACI8TLM1,fLPS_strict,64,105,PF00076,RRM_1,12,71,8,0.1905,0.1333,True
A0ACI8TLM1,fLPS_strict,69,102,PF00076,RRM_1,12,71,3,0.0882,0.05,True
A0ACI8TML7,fLPS_strict,1107,1125,PF00271,Helicase_C,1035,1145,19,1.0,0.1712,False
A0ACI8TML7,fLPS_strict,653,663,PF04851,ResIII,609,808,11,1.0,0.055,False
A0ACI8TML7,fLPS_strict,653,663,PF00270,DEAD,630,785,11,1.0,0.0705,False
A0ACI8TQP9,fLPS_strict,229,234,PF00270,DEAD,104,272,6,1.0,0.0355,False
A0ACI8TQP9,fLPS_strict,229,234,PF04851,ResIII,109,268,6,1.0,0.0375,False
A0ACI8TQS2,fLPS_strict,964,988,PF04851,ResIII,967,1136,22,0.88,0.1294,True
A0ACI8TQS2,fLPS_strict,964,988,PF00270,DEAD,984,1142,5,0.2,0.0314,True
A0ACI8TQS2,fLPS_strict,1329,1351,PF00271,Helicase_C,1292,1404,23,1.0,0.2035,False
A0ACI8TSN5,fLPS_strict,210,239,PF14204,Ribosomal_L18_c,191,244,30,1.0,0.5556,True
A0ACI8TSN5,fLPS_strict,20,24,PF17144,Ribosomal_L5e,14,65,5,1.0,0.0962,True
A0ACI8TSN5,fLPS_strict,190,194,PF14204,Ribosomal_L18_c,191,244,4,0.8,0.0741,True
A0ACI8TS68,fLPS_strict,323,340,PF00271,Helicase_C,298,337,15,0.8333,0.375,True
A0ACI8TS18,fLPS_strict,796,815,PF04408,WHD_HA2,799,827,17,0.85,0.5862,True
A0ACI8TUA9,fLPS_strict,319,350,PF13893,RRM_5,342,420,9,0.2812,0.1139,True
A0ACI8TUA9,fLPS_strict,319,350,PF00076,RRM_1,348,409,3,0.0938,0.0484,True
A0ACI8TUA9,fLPS_strict,403,410,PF13893,RRM_5,342,420,8,1.0,0.1013,True
A0ACI8TUA9,fLPS_strict,403,410,PF00076,RRM_1,348,409,7,0.875,0.1129,True
A0ACI8TSY6,fLPS_strict,736,756,PF00271,Helicase_C,613,743,8,0.381,0.0611,True
A0ACI8TSY6,fLPS_strict,252,262,PF00270,DEAD,198,352,11,1.0,0.071,False
A0ACI8TSY6,fLPS_strict,242,281,PF00270,DEAD,198,352,40,1.0,0.2581,False
A0ACI8TSY6,fLPS_strict,249,267,PF00270,DEAD,198,352,19,1.0,0.1226,False
A0ACI8TWM6,fLPS_strict,754,775,PF08147,DBP10CT,737,797,22,1.0,0.3607,False
A0ACI8TZ93,fLPS_strict,78,84,PF00076,RRM_1,60,96,7,1.0,0.1892,False
A0ACI8TZD7,fLPS_strict,165,187,PF00270,DEAD,86,282,23,1.0,0.1168,False
A0ACI8U1B9,fLPS_strict,102,115,PF07528,DZF_N,11,221,14,1.0,0.0664,False
A0ACI8U1B9,fLPS_strict,584,592,PF00035,dsrm,535,596,9,1.0,0.1452,True
A0ACI8U6C5,fLPS_strict,347,369,PF04851,ResIII,193,353,7,0.3043,0.0435,True
A0ACI8U6C5,fLPS_strict,347,369,PF00270,DEAD,214,358,12,0.5217,0.0828,True
A0ACI8UB86,fLPS_strict,136,175,PF06658,DUF1168,68,199,40,1.0,0.303,False
A0ACI8UB86,fLPS_strict,197,201,PF06658,DUF1168,68,199,3,0.6,0.0227,True
A0ACI8UB86,fLPS_strict,53,86,PF06658,DUF1168,68,199,19,0.5588,0.1439,True
A0ACI8UB86,fLPS_strict,108,117,PF06658,DUF1168,68,199,10,1.0,0.0758,False
A0ACI8UB86,fLPS_strict,187,194,PF06658,DUF1168,68,199,8,1.0,0.0606,True
A0ACI8UDX5,fLPS_strict,332,336,PF00271,Helicase_C,252,358,5,1.0,0.0467,False
A0ACI8UES1,fLPS_strict,197,244,PF08080,zf-RNPHF,238,273,7,0.1458,0.1944,True
A0ACI8UES1,fLPS_strict,189,239,PF08080,zf-RNPHF,238,273,2,0.0392,0.0556,True
A0ACI8UNX3,fLPS_strict,355,377,PF04851,ResIII,183,361,7,0.3043,0.0391,True
A0ACI8UNX3,fLPS_strict,355,377,PF00270,DEAD,200,366,12,0.5217,0.0719,True
A0ACI8UNX3,fLPS_strict,558,565,PF00271,Helicase_C,506,619,8,1.0,0.0702,False
A0ACI8USR5,fLPS_strict,395,435,PF00271,Helicase_C,357,479,41,1.0,0.3333,False
A0ACI8USR5,fLPS_strict,512,560,PF11648,RIG-I_C-RD,559,674,2,0.0408,0.0172,True
A0ACI8USR5,fLPS_strict,115,121,PF04851,ResIII,1,177,7,1.0,0.0395,False
A0ACI8USR5,fLPS_strict,115,121,PF00270,DEAD,5,177,7,1.0,0.0405,False
A0ACI8USR5,fLPS_strict,50,60,PF04851,ResIII,1,177,11,1.0,0.0621,False
A0ACI8USR5,fLPS_strict,50,60,PF00270,DEAD,5,177,11,1.0,0.0636,False
A0ACI8USR5,fLPS_strict,586,596,PF11648,RIG-I_C-RD,559,674,11,1.0,0.0948,False
A0ACI8USR5,fLPS_strict,140,144,PF04851,ResIII,1,177,5,1.0,0.0282,False
A0ACI8USR5,fLPS_strict,140,144,PF00270,DEAD,5,177,5,1.0,0.0289,False
A0ACI8USX5,fLPS_strict,378,382,PF00271,Helicase_C,262,397,5,1.0,0.0368,False
A0ACI8UTL7,fLPS_strict,172,210,PF08081,RBM1CTR,173,217,38,0.9744,0.8444,True
A0ACI8UTL7,fLPS_strict,178,203,PF08081,RBM1CTR,173,217,26,1.0,0.5778,True
A0ACI8UZB3,fLPS_strict,1012,1043,PF04408,WHD_HA2,989,1017,6,0.1875,0.2069,True
A0ACI8UZB3,fLPS_strict,257,262,PF00575,S1,261,333,2,0.3333,0.0274,True
A0ACI8UZB3,fLPS_strict,306,323,PF00575,S1,261,333,18,1.0,0.2466,True
A0ACI8V5N8,fLPS_strict,251,281,PF00271,Helicase_C,249,385,31,1.0,0.2263,True
A0ACI8V583,fLPS_strict,164,202,PF00076,RRM_1,99,167,4,0.1026,0.058,True
A0ACI8V583,fLPS_strict,164,326,PF00076,RRM_1,99,167,4,0.0245,0.058,True
A0ACI8VA32,fLPS_strict,1074,1086,PF13234,MTR4_beta-barrel,866,1080,7,0.5385,0.0326,True
A0ACI8VA32,fLPS_strict,877,881,PF13234,MTR4_beta-barrel,866,1080,5,1.0,0.0233,False
A0ACI8V6J3,fLPS_strict,697,703,PF13307,Helicase_C_2,576,759,7,1.0,0.038,False
A0ACI8V6J3,fLPS_strict,697,715,PF13307,Helicase_C_2,576,759,19,1.0,0.1033,False
A0ACI8VAV8,fLPS_strict,624,653,PF27073,FAM200-ZBED5_RNase-like,628,734,26,0.8667,0.243,True
A0ACI8VQD2,fLPS_strict,745,767,PF00076,RRM_1,732,804,23,1.0,0.3151,False
A0ACI8VQD2,fLPS_strict,22,49,PF00076,RRM_1,4,72,28,1.0,0.4058,False
A0A087WZ13,fLPS_strict,45,64,PF00076,RRM_1,61,123,4,0.2,0.0635,True
A0A087WZ13,fLPS_strict,268,281,PF00076,RRM_1,251,292,14,1.0,0.3333,False
A2A288,fLPS_strict,230,261,PF11977,RNase_Zc3h12a,89,243,14,0.4375,0.0903,True
A6NFN3,fLPS_strict,242,248,PF12414,Fox-1_C,208,297,7,1.0,0.0778,False
A6NFN3,fLPS_strict,269,282,PF12414,Fox-1_C,208,297,14,1.0,0.1556,False
A6NFN3,fLPS_strict,250,291,PF12414,Fox-1_C,208,297,42,1.0,0.4667,True
A6NFN3,fLPS_strict,250,297,PF12414,Fox-1_C,208,297,48,1.0,0.5333,True
O15056,fLPS_strict,858,881,PF08952,DUF1866,863,1008,19,0.7917,0.1301,True
O15056,fLPS_strict,657,669,PF03372,Exo_endo_phos,535,734,13,1.0,0.065,False
O43251,fLPS_strict,326,348,PF12414,Fox-1_C,265,362,23,1.0,0.2347,False
O43251,fLPS_strict,307,330,PF12414,Fox-1_C,265,362,24,1.0,0.2449,False
O43251,fLPS_strict,273,279,PF12414,Fox-1_C,265,362,7,1.0,0.0714,True
O43251,fLPS_strict,303,349,PF12414,Fox-1_C,265,362,47,1.0,0.4796,False
O43395,fLPS_strict,75,86,PF01480,PWI,9,77,3,0.25,0.0435,True
O43395,fLPS_strict,470,474,PF08572,PRP3,308,521,5,1.0,0.0234,False
O43395,fLPS_strict,449,454,PF08572,PRP3,308,521,6,1.0,0.028,False
O43395,fLPS_strict,74,89,PF01480,PWI,9,77,4,0.25,0.058,True
O95639,fLPS_strict,157,196,PF00642,zf-CCCH,145,168,12,0.3,0.5,True
O95639,fLPS_strict,157,196,PF14608,zf-CCCH_2,147,167,11,0.275,0.5238,True
O95639,fLPS_strict,124,148,PF00642,zf-CCCH,145,168,4,0.16,0.1667,True
O95639,fLPS_strict,124,148,PF14608,zf-CCCH_2,147,167,2,0.08,0.0952,True
O95758,fLPS_strict,533,542,PF00076,RRM_1,479,539,7,0.7,0.1148,True
P09651,fLPS_strict,195,359,PF11627,HnRNPA1_LC,307,344,38,0.2303,1.0,True
P09651,fLPS_strict,313,324,PF11627,HnRNPA1_LC,307,344,12,1.0,0.3158,True
P09651,fLPS_strict,195,359,PF11627,HnRNPA1_LC,307,344,38,0.2303,1.0,True
P22087,fLPS_strict,308,312,PF01269,Fibrillarin,88,314,5,1.0,0.022,True
P23588,fLPS_strict,164,202,PF00076,RRM_1,99,167,4,0.1026,0.058,True
P23588,fLPS_strict,164,326,PF00076,RRM_1,99,167,4,0.0245,0.058,True
P29558,fLPS_strict,114,133,PF00076,RRM_1,64,124,11,0.55,0.1803,True
P29558,fLPS_strict,114,138,PF00076,RRM_1,64,124,11,0.44,0.1803,True
P31483,fLPS_strict,59,65,PF00076,RRM_1,9,77,7,1.0,0.1014,False
P31483,fLPS_strict,54,58,PF00076,RRM_1,9,77,5,1.0,0.0725,False
P35637,fLPS_strict,428,447,PF00641,Zn_ribbon_RanBP,422,453,20,1.0,0.625,True
P38159,fLPS_strict,172,210,PF08081,RBM1CTR,173,217,38,0.9744,0.8444,True
P38159,fLPS_strict,178,203,PF08081,RBM1CTR,173,217,26,1.0,0.5778,True
P51114,fLPS_strict,430,459,PF12235,FXMRP1_C_core,379,448,19,0.6333,0.2714,True
P51114,fLPS_strict,443,461,PF12235,FXMRP1_C_core,379,448,6,0.3158,0.0857,True
P51114,fLPS_strict,365,391,PF12235,FXMRP1_C_core,379,448,13,0.4815,0.1857,True
P51114,fLPS_strict,433,461,PF12235,FXMRP1_C_core,379,448,16,0.5517,0.2286,True
P51114,fLPS_strict,376,392,PF12235,FXMRP1_C_core,379,448,14,0.8235,0.2,True
P55769,fLPS_strict,111,121,PF08228,RNase_P_pop3,11,126,11,1.0,0.0948,True
P55769,fLPS_strict,111,121,PF01248,Ribosomal_L7Ae,21,111,1,0.0909,0.011,True
P78563,fLPS_strict,284,295,PF00035,dsrm,244,294,11,0.9167,0.2157,True
P78563,fLPS_strict,127,131,PF00035,dsrm,79,140,5,1.0,0.0806,True
P84103,fLPS_strict,64,163,PF00076,RRM_1,12,77,14,0.14,0.2121,True
Q01130,fLPS_strict,83,205,PF00076,RRM_1,17,86,4,0.0325,0.0571,True
Q01844,fLPS_strict,546,559,PF00641,Zn_ribbon_RanBP,518,548,3,0.2143,0.0968,True
Q01844,fLPS_strict,341,379,PF00076,RRM_1,363,441,17,0.4359,0.2152,True
Q14011,fLPS_strict,34,38,PF16367,RRM_7,7,62,5,1.0,0.0893,False
Q14011,fLPS_strict,34,38,PF00076,RRM_1,8,78,5,1.0,0.0704,False
Q14011,fLPS_strict,63,67,PF00076,RRM_1,8,78,5,1.0,0.0704,False
Q15020,fLPS_strict,925,948,PF05391,Lsm_interact,944,962,5,0.2083,0.2632,True
Q15020,fLPS_strict,82,103,PF05843,Suf,98,274,6,0.2727,0.0339,True
Q15020,fLPS_strict,195,202,PF05843,Suf,98,274,8,1.0,0.0452,False
Q15020,fLPS_strict,815,819,PF00076,RRM_1,803,871,5,1.0,0.0725,False
Q15459,fLPS_strict,369,407,PF12230,PRP21_like_P,233,472,39,1.0,0.1625,False
Q15459,fLPS_strict,2,47,PF01805,Surp,45,107,3,0.0652,0.0476,True
Q15459,fLPS_strict,302,341,PF12230,PRP21_like_P,233,472,40,1.0,0.1667,False
Q15459,fLPS_strict,254,267,PF12230,PRP21_like_P,233,472,14,1.0,0.0583,False
Q15459,fLPS_strict,74,87,PF01805,Surp,45,107,14,1.0,0.2222,False
